,composer,work,theatre,city,date
8845,Gaetano Donizetti,"L'Elisir d'amore, 'Elixir of Love' ",Blackheath Halls,London,2010-07-16
8846,Ennio Morricone," 
								Largo al factotum, from Il Barbiere di Siviglia, 'The Barber of Seville' 
						",Bourne Green Marquee,Farnham,2010-07-17
8847,George Frideric Handel,"Serse, 'Xerxes' HWV40",The Gardens at Iford Manor,Bradford on Avon,2010-07-17
8848,Giacomo Puccini," 
								Excerpts from 'Die Meistersinger von Nürnberg' 
						",Cheltenham Town Hall,Cheltenham,2010-07-17
8849,Richard Rodgers & Oscar Hammerstein," 
								Overture, from Il Barbiere di Siviglia, 'The Barber of Seville' 
						",Southampton Guildhall,Southampton,2010-07-17
8850,Giacomo Puccini,Tosca ,"Baron's Hall, Penshurst Place",Tunbridge Wells,2010-07-18
8851,Gaetano Donizetti,"L'Elisir d'amore, 'Elixir of Love' ",Blackheath Halls,London,2010-07-18
8852,Wolfgang Amadeus Mozart,Zaïde ,Buxton Opera House,Buxton,2010-07-20
8853,Giuseppe Verdi,La Traviata ,"Theatre 1, Roland Levinsky Building, University of Plymouth",Plymouth,2010-07-21
8854,Giuseppe Verdi,La Traviata ,"The Courtyard, Ugbrooke House","Chudleigh, nr Newton Abbot",2010-07-23
8855,Richard Wagner,"Die Walküre, Part II of 'Der Ring des Nibelungen' ",Longborough Festival Opera House,Moreton-in-Marsh,2010-07-24
8856,Giuseppe Verdi,Rigoletto ,The Gardens at Iford Manor,Bradford on Avon,2010-07-24
8857,Giuseppe Verdi,La Traviata ,"The Courtyard, Ugbrooke House","Chudleigh, nr Newton Abbot",2010-07-24
8858,Richard Wagner,"Die Walküre, Part II of 'Der Ring des Nibelungen' ",Longborough Festival Opera House,Moreton-in-Marsh,2010-07-27
8859,Giuseppe Verdi,La Traviata ,St Peter's Church,Budleigh Salterton,2010-07-27
8860,Giuseppe Verdi,Rigoletto ,The Gardens at Iford Manor,Bradford on Avon,2010-07-27
8861,Giuseppe Verdi,Rigoletto ,The Gardens at Iford Manor,Bradford on Avon,2010-07-29
8862,Georges Bizet,Carmen ,Coade Theatre,Blanford Forum,2010-07-29
8863,Richard Wagner,"Die Walküre, Part II of 'Der Ring des Nibelungen' ",Longborough Festival Opera House,Moreton-in-Marsh,2010-07-31
8864,Giuseppe Verdi,Rigoletto ,The Gardens at Iford Manor,Bradford on Avon,2010-07-31
8865,Georges Bizet,Carmen ,Coade Theatre,Blanford Forum,2010-07-31
8866,Giuseppe Verdi,La Traviata ,The Flavel Centre,Dartmouth,2010-07-31
8867,Giovanni Battista  Pergolesi,La serva padrona ,Theatre by the Lake,Keswick,2010-08-01
8868,Giuseppe Verdi,Rigoletto ,The Gardens at Iford Manor,Bradford on Avon,2010-08-03
8869,Giuseppe Verdi,Rigoletto ,The Gardens at Iford Manor,Bradford on Avon,2010-08-05
8870,Antonio Lotti,Magnificat ,"St George's Church, Bloomsbury",London,2010-08-07
8871,Giuseppe Verdi,Rigoletto ,The Gardens at Iford Manor,Bradford on Avon,2010-08-07
8872,Sir Arthur Sullivan and Sir William Gilbert,Trial By Jury ,St George's Hall Concert Room,Liverpool,2010-08-09
8873,Sir Arthur Sullivan and Sir William Gilbert,Trial By Jury ,St George's Hall Concert Room,Liverpool,2010-08-10
8874,Sir Arthur Sullivan and Sir William Gilbert,Trial By Jury ,St George's Hall Concert Room,Liverpool,2010-08-11
8875,Sir Arthur Sullivan and Sir William Gilbert,Trial By Jury ,St George's Hall Concert Room,Liverpool,2010-08-12
8876,Sir Arthur Sullivan and Sir William Gilbert,Trial By Jury ,St George's Hall Concert Room,Liverpool,2010-08-13
8877,George Frideric Handel,Acis and Galatea HWV49b,Theatre by the Lake,Keswick,2010-08-15
8878,Sir Arthur Sullivan and Sir William Gilbert,Trial By Jury ,St George's Hall Concert Room,Liverpool,2010-08-16
8879,Sir Arthur Sullivan and Sir William Gilbert,Trial By Jury ,St George's Hall Concert Room,Liverpool,2010-08-17
8880,Sir Arthur Sullivan and Sir William Gilbert,Trial By Jury ,St George's Hall Concert Room,Liverpool,2010-08-18
8881,Sir Arthur Sullivan and Sir William Gilbert,Trial By Jury ,St George's Hall Concert Room,Liverpool,2010-08-19
8882,Johann Strauss II,Die Fledermaus ,St Andrew's and St George's West Church,Edinburgh,2010-08-20
8883,Sir Arthur Sullivan and Sir William Gilbert,Trial By Jury ,St George's Hall Concert Room,Liverpool,2010-08-20
8884,Robert Hugill,When a Man knows ,Riverside Studios,London,2010-08-21
8885,Igor Stravinsky,The Rake's Progress ,Exeter Picturehouse,Exeter,2010-08-21
8886,Johann Strauss II,Die Fledermaus ,St Andrew's and St George's West Church,Edinburgh,2010-08-21
8887,Giacomo Puccini,Tosca ,Arundel Castle,Arundel,2010-08-24
8888,Benjamin Britten,Billy Budd Op 50,Exeter Picturehouse,Exeter,2010-08-24
8889,Engelbert Humperdinck,Hänsel und Gretel ,Exeter Picturehouse,Exeter,2010-08-26
8890,Henry Purcell,Dido and Aeneas Z626,"St Paul's Church, 'The Actor's Church' Covent Garden",London,2010-09-02
8891,Henry Purcell,Dido and Aeneas ,"St Paul's Church, 'The Actor's Church' Covent Garden",London,2010-09-03
8892,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Peacock Theatre,London,2010-09-04
8893,Henry Purcell,Dido and Aeneas ,"St Paul's Church, 'The Actor's Church' Covent Garden",London,2010-09-04
8894,Henry Purcell,Dido and Aeneas ,"St Paul's Church, 'The Actor's Church' Covent Garden",London,2010-09-04
8895,Sergey Rachmaninov,"Concert Fantasy on Carmen, on themes by Bizet ",Holy Trinity Church,Hereford,2010-09-04
8896,Wolfgang Amadeus Mozart," 
								Excerpts, from Carmen 
						",Sacred Heart Church,Edinburgh,2010-09-05
8897,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Peacock Theatre,London,2010-09-07
8898,Stephen Oliver,Euridice ,Peacock Theatre,London,2010-09-08
8899,Giuseppe Verdi,Falstaff ,Chichester Cathedral,Chichester,2010-09-09
8900,Wolfgang Amadeus Mozart," 
								Excerpts from 'The Marriage of Figaro' K492
						","Bolivar Hall, Venezuelan Embassy",London,2010-09-10
8901,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Peacock Theatre,London,2010-09-10
8902,Wolfgang Amadeus Mozart,Don Giovanni K 527,St Mary in the Castle,Hastings,2010-09-11
8903,Stephen Oliver,Euridice ,Peacock Theatre,London,2010-09-11
8904,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Wilton's Music Hall,London,2010-09-16
8905,Giacomo Puccini," 
								Overture to 'The Merry Wives of Windsor' 
						",Ipswich Corn Exchange,Ipswich,2010-09-18
8906,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Wilton's Music Hall,London,2010-09-18
8907,Karol Szymanowski,King Roger ,Sheffield Central Library Theatre,Sheffield,2010-09-21
8908,Eric  Wetherell,A Foreign Field ,Redgrave Theatre,"Clifton, Bristol",2010-09-22
8909,Giacomo Puccini,Madama Butterfly ,Cadogan Hall,London,2010-09-22
8910,Richard Wagner,Tristan und Isolde ,Symphony Hall,Birmingham,2010-09-23
8911,Eric  Wetherell,A Foreign Field ,Redgrave Theatre,"Clifton, Bristol",2010-09-24
8912,Johann Strauss II," 
								Brindisi, from La Traviata 
						",Lawrence Batley Theatre,Huddersfield,2010-09-25
8913,Eric  Wetherell,A Foreign Field ,Redgrave Theatre,"Clifton, Bristol",2010-09-25
8914,W S Gilbert & Sir Arthur Sullivan," 
								Excerpts, from The Pirates of Penzance 
						",St Michael's Church,Beccles,2010-09-25
8915,Thomas Linley Jr,The Duenna ,Lighthouse,Poole,2010-10-01
8916,George Frideric Handel,Coronation Anthem: Zadok the Priest HWV258,Farnham United Reformed Church,Farnham,2010-10-02
8917,Thomas Linley Jr,The Duenna ,Lighthouse,Poole,2010-10-02
8918,Camille Saint-Saëns," 
								Excerpts, from Il Trovatore - Act 3 excerpts including 'Di Quella Pira' 
						",Theatre by the Lake,Keswick,2010-10-03
8919,Benjamin Britten," 
								Sweeter than roses, from Pausanias Z 585
						","Courtyard Theatre, Norden Farm Centre for the Arts",Maidenhead,2010-10-03
8920,Georges Bizet,Non so più cosa son ,Royal Festival Hall,London,2010-10-07
8921,Wolfgang Amadeus Mozart,Don Giovanni K 527 (concert performance),Usher Hall,Edinburgh,2010-10-07
8922,Paul Hindemith,Savitri Op 25,Rosemary Branch Theatre,London,2010-10-07
8923,Francesco  Cavalli,Sonata terza decima ,St John the Baptist  Church,Little Missenden,2010-10-08
8924,Wolfgang Amadeus Mozart,Don Giovanni K 527 (concert performance),"City Halls, Grand Hall",Glasgow,2010-10-08
8925,Paul Hindemith,Savitri ,Rosemary Branch Theatre,London,2010-10-08
8926,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",City Screen,York,2010-10-09
8927,Paul Hindemith,Savitri ,Rosemary Branch Theatre,London,2010-10-09
8928,Paul Hindemith,Savitri ,Rosemary Branch Theatre,London,2010-10-10
8929,(Peter) Alexander Goehr,Promised End ,"Linbury Studio Theatre, Royal Opera House",London,2010-10-11
8930,Thomas Linley Jr,The Duenna ,"Linbury Studio Theatre, Royal Opera House",London,2010-10-13
8931,(Peter) Alexander Goehr,Promised End ,"Linbury Studio Theatre, Royal Opera House",London,2010-10-14
8932,Richard Wagner," 
								Act 2, from Parsifal 
						","St John's Church, Fulham",London,2010-10-15
8933,Thomas Linley Jr,The Duenna ,"Linbury Studio Theatre, Royal Opera House",London,2010-10-15
8934,(Peter) Alexander Goehr,Promised End ,"Linbury Studio Theatre, Royal Opera House",London,2010-10-16
8935,Thomas Linley Jr,The Duenna ,"Linbury Studio Theatre, Royal Opera House",London,2010-10-16
8936,Thomas Linley Jr,The Duenna ,Theatre Royal,Bath,2010-10-18
8937,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,York Theatre Royal,York,2010-10-19
8938,Thomas Linley Jr,The Duenna ,Theatre Royal,Bath,2010-10-19
8939,Christoph Willibald Gluck,Orfeo ed Euridice (Orpheus and Eurydice) concert version ,Cadogan Hall,London,2010-10-20
8940,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,York Theatre Royal,York,2010-10-20
8941,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,York Theatre Royal,York,2010-10-21
8942,(Peter) Alexander Goehr,Promised End ,"Forum Theatre, Malvern Theatres",Malvern,2010-10-21
8943,Leoš  Janácek,"Mass in C minor, 'The Great' K427",Blackheath Halls,London,2010-10-21
8944,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,York Theatre Royal,York,2010-10-22
8945,Thomas Linley Jr,The Duenna ,"Forum Theatre, Malvern Theatres",Malvern,2010-10-22
8946,George Frideric Handel,Alcina HWV34,Lauderdale House,London,2010-10-22
8947,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,York Theatre Royal,York,2010-10-23
8948,Gioachino Rossini,Aureliano in Palmira ,Royal Festival Hall,London,2010-10-23
8949,Modest Mussorgsky,Boris Godunov ,City Screen,York,2010-10-23
8950,Sir Arthur Sullivan Sir William Schwenck Gilbert,The Pirates of Penzance (or The Slave of Duty) ,"Amey Hall, Abingdon School",Abingdon,2010-10-25
8951,(Peter) Alexander Goehr,Promised End ,De La Warr Pavilion,Bexhill-On-Sea,2010-10-26
8952,(Peter) Alexander Goehr,Promised End ,De La Warr Pavilion,Bexhill-On-Sea,2010-10-26
8953,Sir Arthur Sullivan Sir William Schwenck Gilbert,The Pirates of Penzance (or The Slave of Duty) ,"Amey Hall, Abingdon School",Abingdon,2010-10-26
8954,Thomas Linley Jr,The Duenna ,De La Warr Pavilion,Bexhill-On-Sea,2010-10-27
8955,Sir Arthur Sullivan Sir William Schwenck Gilbert,The Pirates of Penzance (or The Slave of Duty) ,"Amey Hall, Abingdon School",Abingdon,2010-10-27
8956,Sir Arthur Sullivan Sir William Schwenck Gilbert,The Pirates of Penzance (or The Slave of Duty) ,"Amey Hall, Abingdon School",Abingdon,2010-10-28
8957,(Peter) Alexander Goehr,Promised End ,Northcott Theatre,Exeter,2010-10-29
8958,Franz Lehár,The Merry Widow ,Trinity United Reformed Church,Wigan,2010-10-29
8959,Wynton Marsalis,"L'Histoire du soldat, 'The Soldier's Tale' ",The Forge,London,2010-10-30
8960,Thomas Linley Jr,The Duenna ,Northcott Theatre,Exeter,2010-10-30
8961,Sir Arthur Sullivan Sir William Schwenck Gilbert,The Pirates of Penzance (or The Slave of Duty) ,"Amey Hall, Abingdon School",Abingdon,2010-10-30
8962,(Peter) Alexander Goehr,Promised End ,Cambridge Arts Theatre,Cambridge,2010-11-03
8963,Thomas Linley Jr,The Duenna ,Cambridge Arts Theatre,Cambridge,2010-11-04
8964,Thomas Linley Jr,The Duenna ,Cambridge Arts Theatre,Cambridge,2010-11-05
8965,(Peter) Alexander Goehr,Promised End ,Cambridge Arts Theatre,Cambridge,2010-11-06
8966,W S Gilbert & Sir Arthur Sullivan,"Il Tabarro, 'The Cloak' ","St James's Church, Piccadilly",London,2010-11-06
8967,Johannes Brahms," 
								Overture, from Die Meistersinger von Nürnberg, 'The Mastersingers of Nuremburg' 
						","Cripps Hall, Northampton School for Boys",Northampton,2010-11-06
8968,Giuseppe Verdi,Don Carlos ,Broadway Theatre,Catford,2010-11-07
8969,Thomas Linley Jr,The Duenna ,Harrogate Theatre,Harrogate,2010-11-08
8970,"Sir Arthur Sullivan, Sir William Schwenck Gilbert",Patience (or Bunthorne's Bride) ,Greenwich Theatre,London,2010-11-10
8971,Tom Cipullo,Glory Denied ,St Peter's Church in Chelsea,New York,2010-11-11
8972,Gaetano Donizetti,Don Pasquale ,City Screen,York,2010-11-13
8973,Claude Debussy,"L'Enfant et les sortilèges, 'Bewitched Child' ",St John's Smith Square,London,2010-11-13
8974,Giuseppe Verdi,Don Carlos ,St John's Waterloo,London,2010-11-13
8975,Giuseppe Verdi,Don Carlos ,St John's Waterloo,London,2010-11-14
8976,Music by Leonard Bernstein; Lyrics by Betty Comden & Adolph Green,Wonderful Town ,Sir Jack Lyons Concert Hall,York,2010-11-17
8977,Giacomo Puccini,L'honestà negli amori ,St John's Smith Square,London,2010-11-17
8978,Music by Leonard Bernstein; Lyrics by Betty Comden & Adolph Green,Wonderful Town ,Sir Jack Lyons Concert Hall,York,2010-11-18
8979,Ralph Vaughan Williams,Hugh the Drover ,Stag Theatre,Sevenoaks,2010-11-18
8980,Music by Leonard Bernstein; Lyrics by Betty Comden & Adolph Green,Wonderful Town ,Sir Jack Lyons Concert Hall,York,2010-11-19
8981,Georges Bizet,Ave Maria (after J S Bach) ,Hitchin Priory,Hitchin,2010-11-21
8982,Giovanni Battista  Pergolesi,La serva padrona ,Sala Casella,Roma,2010-11-21
8983,Ralph Vaughan Williams,Hugh the Drover ,Devonshire Park,Eastbourne,2010-11-21
8984,Wolfgang Amadeus Mozart,Così fan tutte K588,Sir Jack Lyons Theatre,London,2010-11-22
8985,Wolfgang Amadeus Mozart,Così fan tutte ,Sir Jack Lyons Theatre,London,2010-11-24
8986,Ralph Vaughan Williams,Hugh the Drover ,Cadogan Hall,London,2010-11-24
8987,Ralph Vaughan Williams,Hugh the Drover ,Connaught Theatre,Worthing,2010-11-25
8988,Giuseppe Verdi,La Traviata ,Quay Theatre,Sudbury,2010-11-25
8989,Wolfgang Amadeus Mozart,Così fan tutte ,Sir Jack Lyons Theatre,London,2010-11-26
8990,(Peter) Alexander Goehr,Promised End ,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2010-11-26
8991,Giuseppe Verdi,La Traviata ,Quay Theatre,Sudbury,2010-11-26
8992,Thomas Linley Jr,The Duenna ,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2010-11-27
8993,Giuseppe Verdi,La Traviata ,Quay Theatre,Sudbury,2010-11-27
8994,David Heath,Piano Trio No 1 ,The Chapel of St Christina's School,London,2010-11-28
8995,Ralph Vaughan Williams,Hugh the Drover ,Lewes Town Hall,Lewes,2010-11-28
8996,Wolfgang Amadeus Mozart,Così fan tutte ,Sir Jack Lyons Theatre,London,2010-11-29
8997,Adolphe Adam," 
								Excerpts, from Carmen 
						",St Pancras Church,London,2010-12-04
8998,Engelbert Humperdinck,Hänsel und Gretel ,Blandford Parish Church,Blandford Forum,2010-12-04
8999,Marin Marais,Lamento d'Arianna ,The Temple Church,London,2010-12-10
9000,Wolfgang Amadeus Mozart,"Sonata for Piano No 14 in C sharp minor, 'Moonlight' Op 27/2",St Margaret's Church,Uckfield,2010-12-11
9001,Giuseppe Verdi,Don Carlos ,City Screen,York,2010-12-11
9002,Gian Carlo Menotti,Amahl and the Night Visitors ,"St John's Church, Fulham",London,2010-12-12
9003,George Frideric Handel,"Overture, aria and ballet music from Alcina ",St John's Smith Square,London,2010-12-12
9004,Giacomo Puccini,Coronation Anthem: Zadok the Priest HWV258,Caird Hall,Dundee,2010-12-12
9005,Franz Lehár,The Merry Widow ,Leeds Grand Theatre and Opera House,Leeds,2010-12-18
9006,Franz Lehár,The Merry Widow ,Leeds Grand Theatre and Opera House,Leeds,2010-12-19
9007,Franz Lehár,The Merry Widow ,Leeds Grand Theatre and Opera House,Leeds,2010-12-21
9008,Astor Piazzolla,Le Grand Tango ,"St James's Church, Piccadilly",London,2010-12-22
9009,Franz Lehár,The Merry Widow ,Leeds Grand Theatre and Opera House,Leeds,2010-12-22
9010,Sir Edward Elgar," 
								Overture to 'Ruslan and Ludmilla' 
						",The Bridgewater Hall,Manchester,2010-12-31
9011,John Langley,It's a Grand Night for Singing ,Ipswich Corn Exchange,Ipswich,2011-01-08
9012,Giacomo Puccini," 
								Excerpts from 'La Fanciulla del West' 
						",City Screen,York,2011-01-08
9013,Johann Strauss I," 
								Overture, from Der Zigeunerbaron (The Gypsy Baron) 
						",Plinston Hall,Letchworth Garden City,2011-01-09
9014,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-01-17
9015,Giuseppe Verdi,La Clemenza di Tito K621,Royal Festival Hall,London,2011-01-20
9016,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,Royal Theatre,Northampton,2011-01-24
9017,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,Royal Theatre,Northampton,2011-01-25
9018,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,Royal Theatre,Northampton,2011-01-26
9019,George Frideric Handel," 
								Excerpts, from Acis and Galatea HWV49b
						",Royal Over-Seas League,London,2011-01-26
9020,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,Royal Theatre,Northampton,2011-01-27
9021,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,Royal Theatre,Northampton,2011-01-28
9022,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,Royal Theatre,Northampton,2011-01-29
9023,W S Gilbert & Sir Arthur Sullivan,Ruddigore ,Royal Theatre,Northampton,2011-01-29
9024,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-01-29
9025,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-02-01
9026,Mieczyslaw Weinberg,The Portrait ,Leeds Grand Theatre and Opera House,Leeds,2011-02-02
9027,Franz Lehár,The Merry Widow ,Leeds Grand Theatre and Opera House,Leeds,2011-02-03
9028,Gioachino Rossini,Armida ,St John's Smith Square,London,2011-02-05
9029,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-02-05
9030,Camille Saint-Saëns," 
								Cara sposa, from Rinaldo HWV 7
						",St Bride's Church,London,2011-02-08
9031,Gilbert & Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,Wyllyotts Theatre,Potters Bar,2011-02-09
9032,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-02-09
9033,Jacques Offenbach,La Belle Hélène ,"Upstairs at the Gatehouse, Highgate Village",London,2011-02-09
9034,Giuseppe Verdi," 
								Largo al factotum, from Il Barbiere di Siviglia, 'The Barber of Seville' 
						",St John's Smith Square,London,2011-02-10
9035,Henry Purcell,The Fairy Queen Z629,"Queen Elizabeth Hall, Southbank Centre",London,2011-02-11
9036,"Igor Stravinsky, W. H. Auden & Chester Kallman",The Rake's Progress ,West Road Concert Hall,Cambridge,2011-02-11
9037,Georges Bizet,Carmen ,Leeds Grand Theatre and Opera House,Leeds,2011-02-11
9038,"Igor Stravinsky, W. H. Auden & Chester Kallman",The Rake's Progress ,West Road Concert Hall,Cambridge,2011-02-12
9039,Giuseppe Verdi,Peer Gynt ,Broxbourne Civic Hall,Hoddesdon,2011-02-12
9040,Georges Bizet,Carmen ,Theatre Royal,Newcastle upon Tyne,2011-02-15
9041,Georges Bizet,Carmen ,Theatre Royal,Newcastle upon Tyne,2011-02-17
9042,Tobias Picker,Fantastic Mr Fox ,Ashcroft Theatre,Croydon,2011-02-18
9043,Georges Bizet,Carmen ,Theatre Royal,Newcastle upon Tyne,2011-02-19
9044,Irving Berlin," 
								Là ci darem la mano, from Don Giovanni K 527
						",Rosslyn Hill Unitarian Chapel,Hampstead,2011-02-19
9045,Henry Purcell,The Fairy Queen Z629,The Bridgewater Hall,Manchester,2011-02-20
9046,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,Borough Hall,Godalming,2011-02-22
9047,Georges Bizet,Carmen ,Theatre Royal,Nottingham,2011-02-22
9048,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,Borough Hall,Godalming,2011-02-23
9049,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,Borough Hall,Godalming,2011-02-24
9050,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",Civic Theatre,Chelmsford,2011-02-24
9051,Giuseppe Verdi,Luisa Miller ,King Edward's School,Bath,2011-02-24
9052,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,Borough Hall,Godalming,2011-02-25
9053,Christoph Willibald Gluck,Iphigénie en Tauride ,City Screen,York,2011-02-26
9054,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,Borough Hall,Godalming,2011-02-26
9055,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,Borough Hall,Godalming,2011-02-26
9056,Georges Bizet,Carmen ,Theatre Royal,Nottingham,2011-02-26
9057,Georges Bizet,Carmen ,The Lowry,Salford Quays,2011-03-01
9058,Gioachino Rossini,La caduta dei Dicemviri ,St John's Smith Square,London,2011-03-01
9059,Johann Strauss II,Die Fledermaus ,Wales Millennium Centre,Cardiff,2011-03-03
9060,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,Leatherhead Theatre,Leatherhead,2011-03-04
9061,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Hackney Empire Theatre,London,2011-03-04
9062,Giuseppe Verdi,Il Trovatore ,Wales Millennium Centre,Cardiff,2011-03-04
9063,Richard Wagner," 
								Overture, from Ruslan and Ludmilla 
						",The University Church of St Mary the Virgin,Oxford,2011-03-05
9064,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,Leatherhead Theatre,Leatherhead,2011-03-05
9065,Gilbert & Sullivan,Patience (or Bunthorne's Bride) ,Leatherhead Theatre,Leatherhead,2011-03-05
9066,Georges Bizet,Carmen ,The Lowry,Salford Quays,2011-03-05
9067,Wolfgang Amadeus Mozart," 
								Overture, from Le Nozze di Figaro, 'The Marriage of Figaro' K492
						","Hall One, Kings Place",London,2011-03-09
9068,Tobias Picker,Fantastic Mr Fox ,Hackney Empire Theatre,London,2011-03-10
9069,Gilbert & Sullivan,"The Gondoliers, 'The King of Barataria' ",Gordon Craig Theatre,Stevenage,2011-03-10
9070,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Hackney Empire Theatre,London,2011-03-11
9071,Claudio Monteverdi,"L'incoronazione di Poppea, 'The Coronation of Poppea' ",John Phillips Hall,Bangor,2011-03-11
9072,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,Hackney Empire Theatre,London,2011-03-12
9073,Claudio Monteverdi,"L'incoronazione di Poppea, 'The Coronation of Poppea' ",John Phillips Hall,Bangor,2011-03-12
9074,Claudio Monteverdi,"L'incoronazione di Poppea, 'The Coronation of Poppea' ",John Phillips Hall,Bangor,2011-03-13
9075,Tobias Picker,Fantastic Mr Fox ,Cambridge Arts Theatre,Cambridge,2011-03-15
9076,George Frideric Handel,Orchestral interludes from Ariodante ,Wigmore Hall,London,2011-03-16
9077,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Cambridge Arts Theatre,Cambridge,2011-03-16
9078,Ben Bernstein,The Man in the Mirror ,Trinity Parish Church,Seattle,2011-03-16
9079,Ben Bernstein,The Man in the Mirror One Act Opera,Trinity Parish Church,Seattle,2011-03-16
9080,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Cambridge Arts Theatre,Cambridge,2011-03-17
9081,Ben Bernstein,The Man in the Mirror One Act Opera,Frye Art Museum,Seattle,2011-03-17
9082,George Frideric Handel," 
								Overture, from Giulio Cesare HWV17
						",St John's Waterloo,London,2011-03-17
9083,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Cambridge Arts Theatre,Cambridge,2011-03-18
9084,Peter Maxwell Davies,Kommilitonen! (World premiere) ,Sir Jack Lyons Theatre,London,2011-03-18
9085,Ben Bernstein,The Man in the Mirror One Act Opera,Sorrento Hotel,Seattle,2011-03-18
9086,George Frideric Handel,Joshua HWV64,"St James's Church, Piccadilly",London,2011-03-19
9087,Gaetano Donizetti,Lucia di Lammermoor ,City Screen,York,2011-03-19
9088,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Cambridge Arts Theatre,Cambridge,2011-03-19
9089,Peter Maxwell Davies,Kommilitonen! ,Sir Jack Lyons Theatre,London,2011-03-21
9090,Gilbert & Sullivan,The Mikado (or The Town of Titipu) ,King's Theatre,Edinburgh,2011-03-22
9091,Tobias Picker,Fantastic Mr Fox ,Northcott Theatre,Exeter,2011-03-22
9092,Gilbert & Sullivan,The Mikado (or The Town of Titipu) ,King's Theatre,Edinburgh,2011-03-23
9093,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Northcott Theatre,Exeter,2011-03-23
9094,Peter Maxwell Davies,Kommilitonen! ,Sir Jack Lyons Theatre,London,2011-03-23
9095,Gilbert & Sullivan,The Mikado (or The Town of Titipu) ,King's Theatre,Edinburgh,2011-03-24
9096,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Northcott Theatre,Exeter,2011-03-24
9097,Samuel Barber,Vanessa ,RNCM Concert Hall,Manchester,2011-03-24
9098,Gilbert & Sullivan,The Mikado (or The Town of Titipu) ,King's Theatre,Edinburgh,2011-03-25
9099,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Northcott Theatre,Exeter,2011-03-25
9100,Peter Maxwell Davies,Kommilitonen! ,Sir Jack Lyons Theatre,London,2011-03-25
9101,Dmitry Shostakovich," 
								Prelude and Liebestod, from Tristan und Isolde 
						",Cadogan Hall,London,2011-03-26
9102,Gilbert & Sullivan,The Mikado (or The Town of Titipu) ,King's Theatre,Edinburgh,2011-03-26
9103,Gilbert & Sullivan,The Mikado (or The Town of Titipu) ,King's Theatre,Edinburgh,2011-03-26
9104,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Northcott Theatre,Exeter,2011-03-26
9105,Samuel Barber,Vanessa Op 32,RNCM Concert Hall,Manchester,2011-03-27
9106,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",Assembly Hall Theatre,Tunbridge Wells,2011-03-28
9107,Wolfgang Amadeus Mozart,La Clemenza di Tito ,Assembly Hall Theatre,Tunbridge Wells,2011-03-29
9108,Johann Strauss II,Die Fledermaus ,"Weston Studio, Wales Millennium Centre",Cardiff Bay,2011-03-29
9109,Samuel Barber,Vanessa Op 32,RNCM Concert Hall,Manchester,2011-03-30
