,country,city,venue,dates,composer,work,listing_url
838,Germany,Munich,Nationaltheater,"2019 February 25 19:00, February 28 19:00, March 03 18:00","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/nationaltheater-1927/carmen/25-february-2019/19-00
839,United Kingdom,London,"Royal Opera House, Covent Garden","2019 February 25, 28, March 04, 09, 13, 16 at 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Così fan tutte,https://bachtrack.com/opera-listing/royal-opera-house-covent-garden/cosi-fan-tutte/25-february-2019/19-00
840,Belgium,Liège,Opéra Royal de Wallonie-Liège,"2019 February 26, 28, March 01, 03 15:00, 05, 07, 09, 10 15:00, 12, 14 (at 20:00 unless shown)","Verdi, Giuseppe (1813-1901)",Aida,https://bachtrack.com/opera-listing/opera-royal-de-wallonie-liege/aida/26-february-2019/20-00
841,Austria,Vienna,Kammeroper,"2019 February 26, March 01, 03, 05, 08, 11, 13, 15 at 19:00","Ravel, Maurice (1875-1937)",L'Enfant et les sortilèges,https://bachtrack.com/opera-listing/kammeroper/lenfant-olympia/26-february-2019/19-00
842,Italy,Milan,La Scala,"2019 February 27 19:00, March 03 15:00, March 06 19:00, March 13 19:00, March 19 19:00, March 24 14:00, March 29 19:00","Mussorgsky, Modest Petrovich (1839-1881)",Khovanshchina,https://bachtrack.com/opera-listing/la-scala/khovanshchina/27-february-2019/19-00
843,Netherlands,Amsterdam,Dutch National Opera and Ballet,"2019 February 28, March 02, 05, 07, 09, 13, 17 14:00 (at 19:30 unless shown)","Adams, John (b. 1947)",Girls of the Golden West,https://bachtrack.com/opera-listing/dutch-national-opera-and-ballet/girls-of-the-golden-west/28-february-2019/19-30
844,Hungary,Budapest,Erkel Színház (Erkel Theatre),"2019 March 01 18:00, March 03 19:00, March 05 18:00, March 08 18:00","Mozart, Wolfgang Amadeus (1756-1791)",Così fan tutte,https://bachtrack.com/opera-listing/erkel-szinhaz-erkel-theatre/cosi-fan-tutte/01-march-2019/18-00
845,Germany,Frankfurt am Main,Oper Frankfurt,"2019 March 01, 03 18:00, 07, 10, 15, 23, April 04 (at 19:00 unless shown)","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/oper-frankfurt/carmen/01-march-2019/19-00
846,United Kingdom,London,The London Coliseum,"2019 March 01, 06, 08, 09, 13, 15, 22, 27, 29, April 01, 04, 13 15:00 (at 19:30 unless shown)","Lehár, Franz (1870-1948)",Die Lustige Witwe (The Merry Widow),https://bachtrack.com/opera-listing/the-london-coliseum/the-merry-widow/01-march-2019/19-30
847,Spain,Barcelona,Gran Teatre del Liceu,"2019 March 02, 05, 08, 11, 13, 15 at 20:00","Handel, George Frideric (1685-1759)","Rodelinda, regina de' Langobardi",https://bachtrack.com/opera-listing/gran-teatre-del-liceu/rodelinda-regina-de-langobardi/02-march-2019/20-00
848,United States,Los Angeles,Dorothy Chandler Pavilion,"2019 March 02 19:30, March 07 19:30, March 10 14:00, March 13 19:30, March 16 19:30, March 24 14:00","Mozart, Wolfgang Amadeus (1756-1791)",La clemenza di Tito,https://bachtrack.com/opera-listing/dorothy-chandler-pavilion/la-clemenza-di-tito/02-march-2019/19-30
849,Germany,Schweinfurt,Theater der Stadt Schweinfurt,On Saturday  2 March 2019 at 17:00,"Strauss II, Johann (1825-1899)",Die Fledermaus,https://bachtrack.com/opera-listing/theater-der-stadt-schweinfurt/die-fledermaus-konzertant/02-march-2019/17-00
850,United States,Chicago,Lyric Opera House,"2019 March 02 19:30, March 05 14:00, March 08 19:00, March 11 19:00, March 14 19:00, March 17 14:00","Handel, George Frideric (1685-1759)",Ariodante,https://bachtrack.com/opera-listing/lyric-opera-house/ariodante/02-march-2019/19-30
851,Germany,Bamberg,Konzerthalle Bamberg: Joseph Keilberth Saal,On Sunday  3 March 2019 at 17:00,"Strauss II, Johann (1825-1899)",Die Fledermaus,https://bachtrack.com/opera-listing/konzerthalle-bamberg-joseph-keilberth-saal/die-fledermaus-konzertant/03-march-2019/17-00
852,Austria,Vienna,Staatsoper,"2019 March 04, 07, 09 at 00:00","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/staatsoper/le-nozze-di-figaro/04-march-2019/00-00
853,United Kingdom,Salford,The Lowry,"2019 March 05, 09 at 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/the-lowry/die-zauberflote-the-magic-flute/05-march-2019/19-00
854,Germany,Munich,Nationaltheater,"2019 March 05 19:00, March 08 19:00, March 10 18:00, March 14 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/nationaltheater-1927/don-giovanni/05-march-2019/19-00
855,United States,Philadelphia,"Kimmel Center, Perelman Theater","2019 March 07 20:00, March 08 20:00, March 09 20:00, March 10 14:30","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/kimmel-center-perelman-theater/don-giovanni/07-march-2019/20-00
856,Germany,Berlin,Deutsche Oper,"2019 March 07 19:30, March 10 17:00, March 18 19:30, March 23 19:30","Tchaikovsky, Pyotr Ilyich (1840-1893)",Eugene Onegin,https://bachtrack.com/opera-listing/deutsche-oper/eugene-onegin/07-march-2019/19-30
857,Spain,Barcelona,Gran Teatre del Liceu,"2019 March 07, 10 at 20:00","Thomas, Ambroise (1811-1896)",Hamlet,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/hamlet-in-concert/07-march-2019/20-00
858,Hungary,Budapest,Erkel Színház (Erkel Theatre),"2019 March 07, 09, 13, 17 at 18:00","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/erkel-szinhaz-erkel-theatre/carmen/07-march-2019/18-00
859,United Kingdom,Salford,The Lowry,On Thursday  7 March 2019 at 19:30,"Janáček, Leoš (1854-1928)",Káťa Kabanová,https://bachtrack.com/opera-listing/the-lowry/kata-kabanova/07-march-2019/19-30
860,France,Paris,Opéra Bastille,"2019 March 07, 10 14:30, 13, 16, 20, 23, 26, 29, April 01, 04, 07 14:30 (at 19:30 unless shown)","Verdi, Giuseppe (1813-1901)",Otello,https://bachtrack.com/opera-listing/opera-bastille/otello/07-march-2019/19-30
861,United Kingdom,Salford,The Lowry,On Friday  8 March 2019 at 19:30,"Puccini, Giacomo (1858-1924)",Gianni Schicchi,https://bachtrack.com/opera-listing/the-lowry/the-rite-of-spring-gianni-schicchi/08-march-2019/19-30
862,United Kingdom,Salford,The Lowry,On Friday  8 March 2019 at 19:30,"Stravinsky, Igor (1882-1971)",Le Sacre du printemps (The Rite of Spring),https://bachtrack.com/opera-listing/the-lowry/the-rite-of-spring-gianni-schicchi/08-march-2019/19-30
863,United States,Washington,Kennedy Center: Opera House,"2019 March 09 19:00, March 17 14:00, March 20 19:30, March 23 19:00, March 25 19:00, March 29 19:30","Tchaikovsky, Pyotr Ilyich (1840-1893)",Eugene Onegin,https://bachtrack.com/opera-listing/kennedy-center-opera-house/eugene-onegin/09-march-2019/19-00
864,Germany,Frankfurt am Main,Oper Frankfurt,"2019 March 09 19:30, March 17 19:30, March 28 19:30, April 07 18:00, April 12 19:30","Berg, Alban (1885-1935)",Wozzeck,https://bachtrack.com/opera-listing/oper-frankfurt/wozzeck/09-march-2019/19-30
865,United States,New York City,Lincoln Center: Metropolitan Opera House,"2019 March 09 13:00, March 14 20:00, April 29 19:30, May 06 19:30","Wagner, Richard (1813-1883)",Das Rheingold,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/das-rheingold/09-march-2019/13-00
866,Germany,Berlin,"Berlin State Opera, Unter den Linden","2019 March 09 18:00, March 11 19:30, March 20 19:30, March 22 19:30, March 24 18:00","Widmann, Jörg (b. 1973)",Babylon,https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/babylon/09-march-2019/18-00
867,Austria,Vienna,Staatsoper,"2019 March 10, 14, 17 at 00:00","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/staatsoper/don-giovanni/10-march-2019/00-00
868,Austria,Vienna,Staatsoper,"2019 March 11, 15, 18, 23 at 00:00","Mascagni, Pietro (1863-1945)",Cavalleria rusticana,https://bachtrack.com/opera-listing/staatsoper/cavalleria-rusticana-pagliacci/11-march-2019/00-00
869,Austria,Vienna,Staatsoper,"2019 March 11, 15, 18, 23 at 00:00","Leoncavallo, Ruggero (1857-1919)",Pagliacci,https://bachtrack.com/opera-listing/staatsoper/cavalleria-rusticana-pagliacci/11-march-2019/00-00
870,United Kingdom,Glasgow,Theatre Royal,"2019 March 12, 14, 16 at 19:15","Janáček, Leoš (1854-1928)",Káťa Kabanová,https://bachtrack.com/opera-listing/theatre-royal-43/katya-kabanova/12-march-2019/19-15
871,United Kingdom,Newcastle upon Tyne,Theatre Royal,"2019 March 12, 15 at 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/theatre-royal-238/die-zauberflote-the-magic-flute/12-march-2019/19-00
872,United States,New York City,Lincoln Center: Metropolitan Opera House,"2019 March 13 20:00, March 16 20:00, March 19 20:00, March 23 13:00, March 28 20:00","Saint-Saëns, Camille (1835-1921)",Samson et Dalila (Samson and Delilah),https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/samson-et-dalila-samson-and-delilah/13-march-2019/20-00
873,Hungary,Budapest,Erkel Színház (Erkel Theatre),"2019 March 14 19:00, March 16 19:00, March 21 19:00, March 29 19:00, April 02 19:00, April 07 11:00","Erkel, Ferenc (1810-1893)",Bánk bán,https://bachtrack.com/opera-listing/erkel-szinhaz-erkel-theatre/bank-ban/14-march-2019/19-00
874,United Kingdom,Newcastle upon Tyne,Theatre Royal,On Thursday 14 March 2019 at 19:30,"Janáček, Leoš (1854-1928)",Káťa Kabanová,https://bachtrack.com/opera-listing/theatre-royal-238/kata-kabanova/14-march-2019/19-30
875,United Kingdom,London,The London Coliseum,"2019 March 14, 16, 21, 23, 28, April 02, 06 15:00, 09, 11 (at 19:30 unless shown)","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/the-london-coliseum/the-magic-flute/14-march-2019/19-30
876,France,Lyon,Opéra Nouvel,"2019 March 15 19:30, March 19 19:30, March 22 19:30, March 24 16:00, March 27 19:30, March 29 19:30, March 31 16:00","Tchaikovsky, Pyotr Ilyich (1840-1893)",The Enchantress,https://bachtrack.com/opera-listing/opera-nouvel/the-enchantress/15-march-2019/19-30
877,Germany,Berlin,"Berlin State Opera, Unter den Linden","2019 March 15 19:00, March 17 18:00, March 23 19:00, March 28 19:00, March 30 18:00","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/la-traviata/15-march-2019/19-00
878,Germany,Munich,Nationaltheater,"2019 March 16 18:00, March 19 19:00, March 22 19:00, March 26 19:00, March 30 19:00, April 02 19:00","Puccini, Giacomo (1858-1924)",La fanciulla del West,https://bachtrack.com/opera-listing/nationaltheater-1927/la-fanciulla-del-west/16-march-2019/18-00
879,Austria,Vienna,Theater an der Wien,"2019 March 16, 18, 20, 23, 25, 27 at 19:00","Tchaikovsky, Pyotr Ilyich (1840-1893)",The Maid of Orleans,https://bachtrack.com/opera-listing/theater-an-der-wien/die-jungfrau-von-orleans/16-march-2019/19-00
880,Norway,Bergen,Grieg Hall (Grieghallen),"2019 March 16 18:00, March 18 19:00, March 20 19:00, March 22 19:00","Massenet, Jules (1842-1912)",Werther,https://bachtrack.com/opera-listing/grieg-hall-grieghallen/werther/16-march-2019/18-00
881,Belgium,Liège,Opéra Royal de Wallonie-Liège,"2019 March 16 18:00, March 17 15:00","Massenet, Jules (1842-1912)",Don Quichotte,https://bachtrack.com/opera-listing/opera-royal-de-wallonie-liege/don-quichotte/16-march-2019/18-00
882,United States,Washington,Kennedy Center: Opera House,"2019 March 16 19:00, March 18 19:00, March 22 19:30, March 24 14:00, March 27 19:30, March 30 19:00","Gounod, Charles-Francois (1818-1893)",Faust,https://bachtrack.com/opera-listing/kennedy-center-opera-house/faust/16-march-2019/19-00
883,United Kingdom,Newcastle upon Tyne,Theatre Royal,On Saturday 16 March 2019 at 19:30,"Puccini, Giacomo (1858-1924)",Gianni Schicchi,https://bachtrack.com/opera-listing/theatre-royal-238/the-rite-of-spring-gianni-schicchi/16-march-2019/19-30
884,United Kingdom,Newcastle upon Tyne,Theatre Royal,On Saturday 16 March 2019 at 19:30,"Stravinsky, Igor (1882-1971)",Le Sacre du printemps (The Rite of Spring),https://bachtrack.com/opera-listing/theatre-royal-238/the-rite-of-spring-gianni-schicchi/16-march-2019/19-30
885,France,Lyon,Opéra Nouvel,"2019 March 16, 17 16:00, 20, 21, 23, 26, 30 (at 20:00 unless shown)","Purcell, Henry (1659-1695)",Dido and Aeneas,https://bachtrack.com/opera-listing/opera-nouvel/a-dido-aeneas/16-march-2019/20-00
886,Spain,Madrid,Teatro Real,"2019 March 17, 18, 19 18:00, 20, 21, 23, 24, 25, 26 (at 20:00 unless shown)","Cavalli, Francesco (1602-1676)",La Calisto,https://bachtrack.com/opera-listing/teatro-real/la-calisto/17-march-2019/20-00
887,Germany,Munich,Nationaltheater,"2019 March 17, 20, 23, 27 at 19:00","Donizetti, Gaetano (1797-1848)",Roberto Devereux,https://bachtrack.com/opera-listing/nationaltheater-1927/roberto-devereux/17-march-2019/19-00
888,United States,New York City,Lincoln Center: Metropolitan Opera House,"2019 March 18 20:00, March 23 20:00, March 26 19:30, March 29 20:00, April 02 19:30, April 06 13:00","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/tosca/18-march-2019/20-00
889,Japan,Tokyo,"New National Theatre, Tokyo: Opera House","2019 March 19 18:30, March 21 14:00, March 24 14:00, March 26 14:00","Massenet, Jules (1842-1912)",Werther,https://bachtrack.com/opera-listing/new-national-theatre-tokyo-opera-house/werther/19-march-2019/18-30
890,United Kingdom,Nottingham,Theatre Royal,"2019 March 19, 23 at 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/theatre-royal-912/die-zauberflote-the-magic-flute/19-march-2019/19-00
891,Austria,Vienna,Staatsoper,"2019 March 21, 24, 27, 30 at 00:00","Strauss, Richard (1864-1949)",Der Rosenkavalier,https://bachtrack.com/opera-listing/staatsoper/der-rosenkavalier/21-march-2019/00-00
892,United Kingdom,Edinburgh,Edinburgh Festival Theatre,"2019 March 21, 23 at 19:15","Janáček, Leoš (1854-1928)",Káťa Kabanová,https://bachtrack.com/opera-listing/edinburgh-festival-theatre/katya-kabanova/21-march-2019/19-15
893,United Kingdom,Nottingham,Theatre Royal,On Thursday 21 March 2019 at 19:30,"Janáček, Leoš (1854-1928)",Káťa Kabanová,https://bachtrack.com/opera-listing/theatre-royal-912/kata-kabanova/21-march-2019/19-30
894,United Kingdom,London,"Royal Opera House, Covent Garden","2019 March 21, 24 14:00, 27, 29, April 02, 05, 09, 12, 17, 22 (at 18:30 unless shown)","Verdi, Giuseppe (1813-1901)",La forza del destino,https://bachtrack.com/opera-listing/royal-opera-house-covent-garden/la-forza-del-destino/21-march-2019/18-30
895,Austria,Vienna,Staatsoper,"2019 March 22, 25, 29, April 01 at 00:00","Verdi, Giuseppe (1813-1901)",Simon Boccanegra,https://bachtrack.com/opera-listing/staatsoper/simon-boccanegra/22-march-2019/00-00
896,United Kingdom,Nottingham,Theatre Royal,On Friday 22 March 2019 at 19:30,"Puccini, Giacomo (1858-1924)",Gianni Schicchi,https://bachtrack.com/opera-listing/theatre-royal-912/the-rite-of-spring-gianni-schicchi/22-march-2019/19-30
897,United Kingdom,Nottingham,Theatre Royal,On Friday 22 March 2019 at 19:30,"Stravinsky, Igor (1882-1971)",Le Sacre du printemps (The Rite of Spring),https://bachtrack.com/opera-listing/theatre-royal-912/the-rite-of-spring-gianni-schicchi/22-march-2019/19-30
898,France,Paris,Palais Garnier (Opéra de Paris),"2019 March 22, 25, 28, 30, April 02, 06, 10, 13, 16 at 19:30","Donizetti, Gaetano (1797-1848)",Don Pasquale,https://bachtrack.com/opera-listing/palais-garnier-opera-de-paris/don-pasquale/22-march-2019/19-30
899,Austria,Vienna,Theater an der Wien,On Friday 22 March 2019 at 19:00,"Weber, Carl Maria von (1786-1826)",Der Freischütz,https://bachtrack.com/opera-listing/theater-an-der-wien/der-freischutz-konzertant/22-march-2019/19-00
900,Switzerland,Zürich,Opernhaus,"2019 March 23 18:00, March 27 18:30, March 31 14:00, April 05 18:30","Wagner, Richard (1813-1883)",Tannhäuser,https://bachtrack.com/opera-listing/opernhaus-1069/tannhauser/23-march-2019/18-00
901,Austria,Graz,Oper Graz,"2019 March 23, 28, 31 15:00, April 03, 07 18:00, 10, May 03, 10, 18, 22, 25, June 02 15:00, 14 (at 19:30 unless shown)","Donizetti, Gaetano (1797-1848)",Lucia di Lammermoor,https://bachtrack.com/opera-listing/oper-graz/lucia-di-lammermoor/23-march-2019/19-30
902,Germany,Berlin,Deutsche Oper,"2019 March 24 18:00, March 27 19:30, March 30 19:30, April 07 18:00, April 12 19:30","Zemlinsky, Alexander von (1871-1942)",Der Zwerg (The Dwarf),https://bachtrack.com/opera-listing/deutsche-oper/der-zwerg/24-march-2019/18-00
903,Germany,Munich,Nationaltheater,"2019 March 24, 28, 31 at 16:00","Wagner, Richard (1813-1883)",Parsifal,https://bachtrack.com/opera-listing/nationaltheater-1927/parsifal/24-march-2019/16-00
904,United Kingdom,London,Southbank Centre: Queen Elizabeth Hall,On Sunday 24 March 2019 at 19:00,"Boito, Arrigo (1842-1918)",Mefistofele,https://bachtrack.com/opera-listing/queen-elizabeth-hall/mefistofele/24-march-2019/19-00
905,United States,New York City,Lincoln Center: Metropolitan Opera House,"2019 March 25 18:30, March 30 12:00, April 25 18:30, April 30 18:00, May 07 18:00","Wagner, Richard (1813-1883)",Die Walküre,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/die-walkure/25-march-2019/18-30
906,Belgium,Brussels,La Monnaie | De Munt: Grand Hall,"2019 March 25, 26 at 20:00","Stravinsky, Igor (1882-1971)",The Rake's Progress,https://bachtrack.com/opera-listing/la-monnaie-de-munt-grand-hall/the-rakes-progress/25-march-2019/20-00
907,Austria,Vienna,Theater an der Wien,On Tuesday 26 March 2019 at 19:00,"Vivaldi, Antonio (1678-1741)","Orlando furioso, RV 728",https://bachtrack.com/opera-listing/theater-an-der-wien/orlando-furioso-konzertant/26-march-2019/19-00
908,United States,Chicago,Chicago Symphony Center,"2019 March 28 20:00, March 29 20:00, March 30 20:00, April 02 19:30","Strauss, Richard (1864-1949)","Also sprach Zarathustra, Op.30",https://bachtrack.com/concert-listing/chicago-symphony-center/salonen-conducts-strauss-bartok/28-march-2019/20-00
909,United States,Chicago,Chicago Symphony Center,"2019 March 28 20:00, March 29 20:00, March 30 20:00, April 02 19:30","Bartók, Béla (1881-1945)",Duke Bluebeard's Castle,https://bachtrack.com/concert-listing/chicago-symphony-center/salonen-conducts-strauss-bartok/28-march-2019/20-00
910,France,Lyon,Maison de la Dance,"2019 March 29 20:30, March 30 20:30, March 31 17:00, April 02 20:30, April 03 20:30","Monteverdi, Claudio (1567-1643)","Il ritorno d'Ulisse in patria (The Return of Ulysses to his Country), SV 325",https://bachtrack.com/opera-listing/maison-de-la-dance/il-ritorno-dulisse-in-patria-the-return-of-ulysses-to-his-country-sv-325/29-march-2019/20-30
911,Germany,Leipzig,Opernhaus,"2019 March 30 19:00, April 22 18:00, May 12 18:00, May 17 19:30, May 30 18:00, June 10 17:00","Wagner, Richard (1813-1883)",Der fliegende Holländer (The Flying Dutchman),https://bachtrack.com/opera-listing/opernhaus/der-fliegende-hollander/30-march-2019/19-00
912,Hungary,Budapest,Erkel Színház (Erkel Theatre),"2019 March 30 19:00, March 31 19:00, April 03 19:00, April 04 19:00, April 06 11:00, April 12 19:00","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/erkel-szinhaz-erkel-theatre/la-traviata/30-march-2019/19-00
913,United States,New York City,Lincoln Center: Metropolitan Opera House,"2019 March 30 20:30, April 03 20:00, April 06 20:00, April 11 20:00, April 16 20:00, April 20 13:00","Mozart, Wolfgang Amadeus (1756-1791)",La clemenza di Tito,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/la-clemenza-di-tito/30-march-2019/20-30
914,Spain,Madrid,Teatro Real,"2019 March 31 18:00, April 01 20:00, April 03 20:00, April 04 20:00","Purcell, Henry (1659-1695)",Dido and Aeneas,https://bachtrack.com/dance-listing/teatro-real/didos-aeneas/31-march-2019/18-00
915,Austria,Vienna,Staatsoper,"2019 March 31, April 05, 07, 10, 13 at 00:00","Trojahn, Manfred",Orest,https://bachtrack.com/opera-listing/staatsoper/orest/31-march-2019/00-00
916,Italy,Milan,La Scala,"2019 March 31, April 03, 06, 09, 13 20:30, 16, 19, 24, 27 (at 20:00 unless shown)","Puccini, Giacomo (1858-1924)",Manon Lescaut,https://bachtrack.com/opera-listing/la-scala/manon-lescaut/31-march-2019/20-00
917,Hungary,Budapest,Müpa: Béla Bartók National Concert Hall,On Sunday 31 March 2019 at 19:30,"Puccini, Giacomo (1858-1924)",Crisantemi,https://bachtrack.com/concert-listing/mupa-bela-bartok-national-concert-hall/puccini-crisantemi-le-villi-semi-staged-performance/31-march-2019/19-30
918,Germany,Frankfurt am Main,Oper Frankfurt,"2019 March 31 18:00, April 06 19:30, April 13 19:30, April 19 18:00, April 26 19:30, April 28 15:30, May 04 19:30, May 11 19:30","Schreker, Franz (1878-1934)",Der Ferne Klang (The Distant Sound),https://bachtrack.com/opera-listing/oper-frankfurt/der-ferne-klang-the-distant-sound/31-march-2019/18-00
919,Spain,Barcelona,Gran Teatre del Liceu,"2019 April 01, 02, 04, 05, 07 18:00, 08, 10, 11, 13, 14 17:00, 15 (at 20:00 unless shown)","Ponchielli, Amilcare (1834-1886)",La Gioconda,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/la-gioconda/01-april-2019/20-00
920,France,Paris,Opéra Bastille,"2019 April 02, 06, 09, 13, 16, 19, 22 14:30, 25 (at 19:30 unless shown)","Shostakovich, Dmitri (1906-1975)",Lady Macbeth of the Mtsensk District,https://bachtrack.com/opera-listing/opera-bastille/lady-macbeth-of-mtsensk/02-april-2019/19-30
921,Belgium,Brussels,Palais des Beaux-Arts (BOZAR): Henri le Boeuf Concert Hall,"2019 April 02, 05 at 18:00","Meyerbeer, Giacomo (1791-1864)",Robert le diable,https://bachtrack.com/opera-listing/bozar-main-hall/robert-le-diable/02-april-2019/18-00
922,Austria,Vienna,Staatsoper,"2019 April 04, 08, 11, 15 at 00:00","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/staatsoper/la-boheme/04-april-2019/00-00
923,Germany,Munich,Nationaltheater,"2019 April 04 19:00, April 06 18:00, April 09 18:00","Mozart, Wolfgang Amadeus (1756-1791)",Die Entführung aus dem Serail (The Abduction from the Harem),https://bachtrack.com/opera-listing/nationaltheater-1927/die-entfuhrung-aus-dem-serail/04-april-2019/19-00
924,France,Paris,Château de Versailles: Royal Opera House,"2019 April 04 20:00, April 06 19:00, April 07 15:00","Handel, George Frideric (1685-1759)",Rinaldo,https://bachtrack.com/opera-listing/chateau-de-versailles-royal-opera-house/rinaldo/04-april-2019/20-00
925,United States,New York City,Lincoln Center: Metropolitan Opera House,"2019 April 04, 09, 12, 15, 18 at 20:00","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/don-giovanni/04-april-2019/20-00
926,Germany,Munich,Nationaltheater,"2019 April 05, 07, 10 at 19:00","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/nationaltheater-1927/madama-butterfly/05-april-2019/19-00
927,Hungary,Budapest,Erkel Színház (Erkel Theatre),"2019 April 05, 06, 07, 13, 16, 17 at 18:00","Gershwin, George (1898-1937)",Porgy and Bess,https://bachtrack.com/opera-listing/erkel-szinhaz-erkel-theatre/porgy-and-bess/05-april-2019/18-00
928,Germany,Berlin,Deutsche Oper,"2019 April 05, 18, May 10 at 19:30","Wagner, Richard (1813-1883)","Rienzi, der Letze der Tribunen",https://bachtrack.com/opera-listing/deutsche-oper/rienzi-der-letze-der-tribunen/05-april-2019/19-30
929,United Kingdom,London,Barbican Hall,On Friday  5 April 2019 at 18:30,"Handel, George Frideric (1685-1759)",Semele,https://bachtrack.com/opera-listing/barbican-hall/handel-semele-the-english-concert/05-april-2019/18-30
930,United States,New York City,Lincoln Center: Metropolitan Opera House,"2019 April 05 20:00, April 10 20:00, April 13 20:30, April 17 20:00, April 20 20:00, April 24 19:30, April 27 20:30","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/la-traviata/05-april-2019/20-00
931,Germany,Frankfurt am Main,Oper Frankfurt,"2019 April 05 19:00, April 11 19:00, April 14 18:00, April 20 18:00, April 22 18:00","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/oper-frankfurt/le-nozze-di-figaro/05-april-2019/19-00
932,Netherlands,Amsterdam,Dutch National Opera and Ballet,"2019 April 06 18:30, April 10 18:30, April 14 13:30, April 18 18:30, April 21 13:30, April 24 18:30, April 28 13:30, May 01 18:30","Wagner, Richard (1813-1883)",Tannhäuser,https://bachtrack.com/opera-listing/dutch-national-opera-and-ballet/tannhauser/06-april-2019/18-30
933,Austria,Vienna,Staatsoper,"2019 April 06, 09, 12, 16 at 00:00","Puccini, Giacomo (1858-1924)",Turandot,https://bachtrack.com/opera-listing/staatsoper/turandot/06-april-2019/00-00
934,Germany,Leipzig,Opernhaus,"2019 April 06, May 01 at 17:00","Wagner, Richard (1813-1883)",Das Rheingold,https://bachtrack.com/opera-listing/opernhaus/das-rheingold/06-april-2019/17-00
935,Germany,Leipzig,Opernhaus,"2019 April 07, May 02 at 17:00","Wagner, Richard (1813-1883)",Die Walküre,https://bachtrack.com/opera-listing/opernhaus/die-walkure/07-april-2019/17-00
936,Switzerland,Zürich,Opernhaus,"2019 April 07 19:00, April 10 19:30, April 13 19:30, April 18 19:00, April 22 20:00, April 26 19:00, May 04 19:00, May 12 14:00, May 15 19:00","Massenet, Jules (1842-1912)",Manon,https://bachtrack.com/opera-listing/opernhaus-1069/manon/07-april-2019/19-00
937,Japan,Tokyo,"New National Theatre, Tokyo: Opera House","2019 April 07 14:00, April 10 19:00, April 14 14:00, April 17 14:00","Zemlinsky, Alexander von (1871-1942)",Eine Florentinische Tragödie (A Florentine Tragedy) Op.16,https://bachtrack.com/opera-listing/new-national-theatre-tokyo-opera-house/eine-florentinische-tragodie-gianni-schicchi/07-april-2019/14-00
938,Japan,Tokyo,"New National Theatre, Tokyo: Opera House","2019 April 07 14:00, April 10 19:00, April 14 14:00, April 17 14:00","Puccini, Giacomo (1858-1924)",Gianni Schicchi,https://bachtrack.com/opera-listing/new-national-theatre-tokyo-opera-house/eine-florentinische-tragodie-gianni-schicchi/07-april-2019/14-00
939,United Kingdom,London,"Royal Opera House, Covent Garden","2019 April 08 11:30, 11, 15, 18, 25, 30, May 03, 06 (at 19:00 unless shown)","Gounod, Charles-Francois (1818-1893)",Faust,https://bachtrack.com/opera-listing/royal-opera-house-covent-garden/faust/08-april-2019/11-30
