,work,date
5111,Die Zauberflöte,1915-12-08
5112,Aida,1915-12-09
5113,Boris Godunov,1915-12-10
5114,Martha,1915-12-11
5115,Madama Butterfly,1915-12-11
5116,Fourth Sunday Concert,1915-12-12
5117,Il Trovatore,1915-12-13
5118,Der Rosenkavalier,1915-12-14
5119,Manon,1915-12-15
5120,Die Walküre,1915-12-16
5121,Martha,1915-12-17
5122,Götterdämmerung,1915-12-18
5123,La Bohème,1915-12-18
5124,Fifth Sunday Concert,1915-12-19
5125,Lohengrin,1915-12-20
5126,Un Ballo in Maschera,1915-12-21
5127,La Traviata,1915-12-22
5128,Samson et Dalila,1915-12-23
5129,Hänsel und Gretel,1915-12-24
5130,Tristan und Isolde,1915-12-24
5131,Aida,1915-12-25
5132,Il Barbiere di Siviglia,1915-12-25
5133,Sixth Sunday Concert,1915-12-26
5134,Martha,1915-12-27
5135,Tosca,1915-12-28
5136,Die Walküre,1915-12-29
5137,Prince Igor,1915-12-30
5138,Parsifal,1915-12-31
5139,Madama Butterfly,1915-12-31
5140,Un Ballo in Maschera,1916-01-01
5141,La Bohème,1916-01-01
5142,Seventh Sunday Concert,1916-01-02
5143,Die Zauberflöte,1916-01-03
5144,Aida,1916-01-04
5145,Tosca,1916-01-05
5146,Manon Lescaut,1916-01-06
5147,Die Meistersinger von Nürnberg,1916-01-07
5148,Boris Godunov,1916-01-08
5149,Il Trovatore,1916-01-08
5150,Eighth Sunday Concert,1916-01-09
5151,Prince Igor,1916-01-10
5152,Die Zauberflöte,1916-01-11
5153,Martha,1916-01-12
5154,Lohengrin,1916-01-13
5155,Un Ballo in Maschera,1916-01-14
5156,Siegfried,1916-01-15
5157,Aida,1916-01-15
5158,Ninth Sunday Concert,1916-01-16
5159,Hänsel und Gretel,1916-01-17
5160,Tristan und Isolde,1916-01-18
5161,Il Trovatore,1916-01-19
5162,Die Zauberflöte,1916-01-20
5163,Prince Igor,1916-01-21
5164,Manon Lescaut,1916-01-22
5165,Die Meistersinger von Nürnberg,1916-01-22
5166,Tenth Sunday Concert,1916-01-23
5167,Tristan und Isolde,1916-01-24
5168,La Bohème,1916-01-25
5169,Der Rosenkavalier,1916-01-26
5170,Boris Godunov,1916-01-27
5171,Goyescas,1916-01-28
5172,La Traviata,1916-01-29
5173,Lohengrin,1916-01-29
5174,Eleventh Sunday Concert,1916-01-30
5175,Lucia di Lammermoor,1916-01-31
5176,Manon,1916-02-01
5177,Cavalleria Rusticana,1916-02-02
5178,Das Rheingold,1916-02-03
5179,La Bohème,1916-02-03
5180,Die Zauberflöte,1916-02-04
5181,Il Barbiere di Siviglia,1916-02-05
5182,Un Ballo in Maschera,1916-02-05
5183,Twelfth Sunday Concert,1916-02-06
5184,Die Meistersinger von Nürnberg,1916-02-07
5185,Lucia di Lammermoor,1916-02-08
5186,Manon Lescaut,1916-02-09
5187,Die Walküre,1916-02-10
5188,Hänsel und Gretel,1916-02-10
5189,Rigoletto,1916-02-11
5190,Prince Igor,1916-02-12
5191,Tristan und Isolde,1916-02-12
5192,Thirteenth Sunday Concert,1916-02-13
5193,Tosca,1916-02-14
5194,Die Meistersinger von Nürnberg,1916-02-15
5195,Lucia di Lammermoor,1916-02-16
5196,Siegfried,1916-02-17
5197,Carmen,1916-02-17
5198,Das Rheingold,1916-02-18
5199,La Bohème,1916-02-19
5200,Boris Godunov,1916-02-19
5201,Fourteenth Sunday Concert,1916-02-20
5202,Rigoletto,1916-02-21
5203,Parsifal,1916-02-22
5204,Lucia di Lammermoor,1916-02-22
5205,Madama Butterfly,1916-02-23
5206,Götterdämmerung,1916-02-24
5207,Lucia di Lammermoor,1916-02-24
5208,Carmen,1916-02-25
5209,Lohengrin,1916-02-26
5210,Cavalleria Rusticana,1916-02-26
5211,Fifteenth Sunday Concert,1916-02-27
5212,Die Walküre,1916-02-28
5213,Madame Sans-Gêne,1916-02-29
5214,Hänsel und Gretel,1916-03-01
5215,Prince Igor,1916-03-01
5216,Tristan und Isolde,1916-03-02
5217,La Sonnambula,1916-03-03
5218,Rigoletto,1916-03-04
5219,Aida,1916-03-04
5220,Sixteenth Sunday Concert,1916-03-05
5221,Cavalleria Rusticana,1916-03-06
5222,Tristan und Isolde,1916-03-07
5223,Rigoletto,1916-03-08
5224,Der Rosenkavalier,1916-03-09
5225,Samson et Dalila,1916-03-10
5226,Die Meistersinger von Nürnberg,1916-03-11
5227,Il Barbiere di Siviglia,1916-03-11
5228,Seventeenth Sunday Concert,1916-03-12
5229,Aida,1916-03-13
5230,Hänsel und Gretel,1916-03-14
5231,The Taming of the Shrew,1916-03-15
5232,Special Matinee,1916-03-16
5233,La Sonnambula,1916-03-16
5234,Madame Sans-Gêne,1916-03-17
5235,Samson et Dalila,1916-03-18
5236,Die Walküre,1916-03-18
5237,Eighteenth Sunday Concert,1916-03-19
5238,The Taming of the Shrew,1916-03-20
5239,Il Barbiere di Siviglia,1916-03-21
5240,Carmen,1916-03-22
5241,Siegfried,1916-03-23
5242,Aida,1916-03-24
5243,Der Rosenkavalier,1916-03-24
5244,Madame Sans-Gêne,1916-03-25
5245,La Sonnambula,1916-03-25
5246,Nineteenth and Last Sunday Concert,1916-03-26
5247,Carmen,1916-03-27
5248,Die Meistersinger von Nürnberg,1916-03-28
5249,Das Rheingold,1916-03-29
5250,Madama Butterfly,1916-03-30
5251,Rigoletto,1916-03-30
5252,Lucia di Lammermoor,1916-03-31
5253,Carmen,1916-04-01
5254,Siegfried,1916-04-01
5255,Boris Godunov,1916-04-03
5256,La Bohème,1916-04-04
5257,Carmen,1916-04-05
5258,Tristan und Isolde,1916-04-05
5259,Lucia di Lammermoor,1916-04-06
5260,Aida,1916-04-07
5261,Madama Butterfly,1916-04-08
5262,Lohengrin,1916-04-08
5263,Der Rosenkavalier,1916-04-10
5264,Tosca,1916-04-11
5265,Rigoletto,1916-04-12
5266,Il Trovatore,1916-04-12
5267,The Taming of the Shrew,1916-04-13
5268,Carmen,1916-04-14
5269,Hänsel und Gretel,1916-04-15
5270,La Sonnambula,1916-04-15
5271,Madame Sans-Gêne,1916-04-17
5272,Un Ballo in Maschera,1916-04-18
5273,Der Rosenkavalier,1916-04-19
5274,Il Barbiere di Siviglia,1916-04-19
5275,La Bohème,1916-04-20
5276,Parsifal,1916-04-21
5277,Martha,1916-04-21
5278,Die Meistersinger von Nürnberg,1916-04-22
5279,Aida,1916-04-22
5280,Samson et Dalila,1916-04-24
5281,Lucia di Lammermoor,1916-04-25
5282,La Sonnambula,1916-04-26
5283,Aida,1916-04-27
5284,Martha,1916-04-28
5285,Die Meistersinger von Nürnberg,1916-04-29
5286,La Bohème,1916-04-29
5287,Granados Benefit Concert,1916-05-07
5288,All Star Musical and Novelty Benefit,1916-05-16
5289,Die Walküre (Stadium),1916-06-06
5290,"Siegfried: Acts I, II  (Stadium)",1916-06-09
5291,Siegfried: Act III  (Stadium),1916-06-10
5292,Cancelled Performance,1916-06-15
5293,Siegfried (Stadium),1916-06-16
5294,Siegfried (Stadium),1916-06-17
5295,Siegfried (Stadium),1916-06-20
5296,Siegfried (Stadium),1916-06-22
5297,Les Pêcheurs de Perles,1916-11-13
5298,Boris Godunov,1916-11-14
5299,Tristan und Isolde,1916-11-15
5300,Manon Lescaut,1916-11-16
5301,Der Rosenkavalier,1916-11-17
5302,Prince Igor,1916-11-18
5303,Aida,1916-11-18
5304,First Sunday Concert,1916-11-19
5305,Die Zauberflöte,1916-11-20
5306,Prince Igor,1916-11-21
5307,Manon Lescaut,1916-11-22
5308,Il Trovatore,1916-11-23
5309,Samson et Dalila,1916-11-24
5310,Iphigénie en Tauride,1916-11-25
5311,La Bohème,1916-11-25
5312,Second Sunday Concert,1916-11-26
5313,Boris Godunov,1916-11-27
5314,Samson et Dalila,1916-11-28
5315,La Traviata,1916-11-29
5316,Parsifal,1916-11-30
5317,La Bohème,1916-11-30
5318,Lohengrin,1916-12-01
5319,Les Pêcheurs de Perles,1916-12-02
5320,Cavalleria Rusticana,1916-12-02
5321,Third Sunday Concert,1916-12-03
5322,Tosca,1916-12-04
5323,Lohengrin,1916-12-05
5324,Prince Igor,1916-12-06
5325,Der Rosenkavalier,1916-12-07
5326,Aida,1916-12-08
5327,Fidelio,1916-12-09
5328,Manon Lescaut,1916-12-09
5329,Fourth Sunday Concert,1916-12-10
5330,Iphigénie en Tauride,1916-12-11
5331,Il Trovatore,1916-12-12
5332,Les Pêcheurs de Perles,1916-12-13
5333,Lohengrin,1916-12-14
5334,Cavalleria Rusticana,1916-12-15
5335,La Bohème,1916-12-16
5336,Lohengrin,1916-12-16
5337,Fifth Sunday Concert,1916-12-17
5338,Il Trovatore,1916-12-18
5339,Martha,1916-12-19
5340,Fidelio,1916-12-20
5341,Samson et Dalila,1916-12-21
5342,Francesca da Rimini,1916-12-22
5343,Tristan und Isolde,1916-12-23
5344,Tosca,1916-12-23
5345,Sixth Sunday Concert,1916-12-24
5346,Hänsel und Gretel,1916-12-25
5347,Martha,1916-12-25
5348,Siegfried,1916-12-26
5349,Tosca,1916-12-27
5350,Francesca da Rimini,1916-12-28
5351,Iphigénie en Tauride,1916-12-29
5352,L'Elisir d'Amore,1916-12-30
5353,Lohengrin,1916-12-30
5354,Seventh Sunday Concert,1916-12-31
5355,Parsifal,1917-01-01
5356,Madama Butterfly,1917-01-01
5357,Aida,1917-01-02
5358,Il Trovatore,1917-01-03
5359,Das Rheingold,1917-01-04
5360,Carmen,1917-01-05
5361,La Traviata,1917-01-06
5362,La Bohème,1917-01-06
5363,Eighth Sunday Concert,1917-01-07
5364,Der Rosenkavalier,1917-01-08
5365,Carmen,1917-01-09
5366,L'Elisir d'Amore,1917-01-10
5367,Tosca,1917-01-11
5368,Boris Godunov,1917-01-12
5369,Die Zauberflöte,1917-01-13
5370,Samson et Dalila,1917-01-13
5371,Ninth Sunday Concert,1917-01-14
5372,Francesca da Rimini,1917-01-15
5373,Carmen,1917-01-16
5374,Die Meistersinger von Nürnberg,1917-01-17
5375,Cavalleria Rusticana,1917-01-18
5376,Fidelio,1917-01-19
5377,Carmen,1917-01-20
5378,Siegfried,1917-01-20
5379,Tenth Sunday Concert,1917-01-21
5380,Lohengrin,1917-01-22
5381,La Bohème,1917-01-23
5382,Le Nozze di Figaro,1917-01-24
5383,Tristan und Isolde,1917-01-25
5384,Martha,1917-01-26
5385,Madama Butterfly,1917-01-27
5386,Aida,1917-01-27
5387,Eleventh Sunday Concert,1917-01-28
5388,L'Elisir d'Amore,1917-01-29
5389,Tristan und Isolde,1917-01-30
5390,Francesca da Rimini,1917-01-31
5391,Das Rheingold,1917-02-01
5392,Carmen,1917-02-01
5393,Il Trovatore,1917-02-02
5394,Le Nozze di Figaro,1917-02-03
5395,Die Zauberflöte,1917-02-03
5396,Twelfth Sunday Concert,1917-02-04
5397,La Bohème,1917-02-05
5398,Aida,1917-02-06
5399,Rigoletto,1917-02-07
5400,Die Walküre,1917-02-08
5401,Madama Butterfly,1917-02-08
5402,Die Meistersinger von Nürnberg,1917-02-09
5403,Samson et Dalila,1917-02-10
5404,Cavalleria Rusticana,1917-02-10
5405,Thirteenth Sunday Concert,1917-02-11
5406,Aida,1917-02-12
5407,Le Nozze di Figaro,1917-02-12
5408,Lucia di Lammermoor,1917-02-13
5409,Iphigénie en Tauride,1917-02-14
5410,L'Elisir d'Amore,1917-02-15
5411,Siegfried,1917-02-16
5412,Thaïs,1917-02-16
5413,Lohengrin,1917-02-17
5414,Manon Lescaut,1917-02-17
5415,Fourteenth Sunday Concert,1917-02-18
5416,Rigoletto,1917-02-19
5417,Francesca da Rimini,1917-02-20
5418,Carmen,1917-02-21
5419,Götterdämmerung,1917-02-22
5420,Il Barbiere di Siviglia,1917-02-22
5421,Die Walküre,1917-02-23
5422,Tosca,1917-02-24
5423,Boris Godunov,1917-02-24
5424,Fifteenth Sunday Concert,1917-02-25
5425,Thaïs,1917-02-26
5426,Martha,1917-02-27
5427,Lucia di Lammermoor,1917-02-28
5428,Die Meistersinger von Nürnberg,1917-03-01
5429,Madame Sans-Gêne,1917-03-02
5430,Aida,1917-03-03
5431,Siegfried,1917-03-03
5432,Sixteenth Sunday Concert,1917-03-04
5433,Tristan und Isolde,1917-03-05
5434,Rigoletto,1917-03-06
5435,Thaïs,1917-03-07
5436,The Canterbury Pilgrims,1917-03-08
5437,Carmen,1917-03-09
5438,L'Elisir d'Amore,1917-03-09
5439,Francesca da Rimini,1917-03-10
5440,Lucia di Lammermoor,1917-03-10
5441,Seventeenth Sunday Concert,1917-03-11
5442,Samson et Dalila,1917-03-12
5443,Thaïs,1917-03-13
5444,Die Walküre,1917-03-14
5445,Rigoletto,1917-03-15
5446,Madame Sans-Gêne,1917-03-15
5447,The Canterbury Pilgrims,1917-03-16
5448,Siegfried,1917-03-17
5449,Il Trovatore,1917-03-17
5450,Grand Benefit Concert,1917-03-18
5451,Madama Butterfly,1917-03-19
5452,Die Meistersinger von Nürnberg,1917-03-19
5453,The Canterbury Pilgrims,1917-03-20
5454,Aida,1917-03-21
5455,Thaïs,1917-03-22
5456,La Bohème,1917-03-23
5457,Lakmé,1917-03-24
5458,Die Walküre,1917-03-24
5459,Nineteenth Sunday Concert,1917-03-25
5460,Carmen,1917-03-26
5461,Die Walküre,1917-03-27
5462,The Canterbury Pilgrims,1917-03-28
5463,Special Matinee for the Emergency Fund,1917-03-29
5464,Siegfried,1917-03-29
5465,Il Barbiere di Siviglia,1917-03-30
5466,L'Oracolo,1917-03-31
5467,Carmen,1917-03-31
5468,Twentieth Sunday Concert,1917-04-01
5469,The Canterbury Pilgrims,1917-04-02
5470,Tosca,1917-04-03
5471,Lakmé,1917-04-04
5472,Aida,1917-04-05
5473,Parsifal,1917-04-06
5474,Tosca,1917-04-06
5475,Rigoletto,1917-04-07
5476,Die Meistersinger von Nürnberg,1917-04-07
5477,Mors et Vita,1917-04-08
5478,Madame Sans-Gêne,1917-04-09
5479,L'Oracolo,1917-04-10
5480,Boris Godunov,1917-04-11
5481,Madama Butterfly,1917-04-12
5482,Martha,1917-04-12
5483,Tristan und Isolde,1917-04-13
5484,The Canterbury Pilgrims,1917-04-14
5485,Il Barbiere di Siviglia,1917-04-14
5486,St. Francis of Assisi,1917-04-15
5487,Lakmé,1917-04-16
5488,Boris Godunov,1917-04-17
5489,Carmen,1917-04-18
5490,L'Oracolo,1917-04-18
5491,Iphigénie en Tauride,1917-04-19
5492,Rigoletto,1917-04-20
5493,Thaïs,1917-04-21
5494,The Canterbury Pilgrims,1917-04-21
5495,L'Elisir d'Amore,1917-04-23
5496,Il Trovatore,1917-04-24
5497,Francesca da Rimini,1917-04-25
5498,Tosca,1917-04-26
5499,Boris Godunov,1917-04-27
5500,Siegfried,1917-04-28
5501,Rigoletto,1917-04-28
5502,Aida,1917-11-12
5503,Tosca,1917-11-13
5504,Boris Godunov,1917-11-14
5505,L'Elisir d'Amore,1917-11-15
5506,La Bohème,1917-11-16
5507,Faust,1917-11-17
5508,La Traviata,1917-11-17
5509,First Sunday Concert,1917-11-18
5510,Tosca,1917-11-19
5511,Aida,1917-11-20
5512,Martha,1917-11-21
5513,Madama Butterfly,1917-11-22
5514,Samson et Dalila,1917-11-23
5515,Francesca da Rimini,1917-11-24
5516,Le Nozze di Figaro,1917-11-24
5517,Second Sunday Concert,1917-11-25
5518,Faust,1917-11-26
5519,Manon Lescaut,1917-11-27
5520,La Traviata,1917-11-28
5521,Carmen,1917-11-29
5522,La Bohème,1917-11-29
5523,Prince Igor,1917-11-30
5524,L'Elisir d'Amore,1917-12-01
5525,Il Trovatore,1917-12-01
5526,Third Sunday Concert,1917-12-02
5527,Boris Godunov,1917-12-03
5528,Faust,1917-12-04
5529,Manon Lescaut,1917-12-05
5530,Aida,1917-12-06
5531,Cavalleria Rusticana,1917-12-07
5532,La Bohème,1917-12-08
5533,Il Trovatore,1917-12-08
5534,Fourth Sunday Concert,1917-12-09
5535,Carmen,1917-12-10
5536,La Fille du Régiment,1917-12-11
5537,Faust,1917-12-12
5538,La Traviata,1917-12-13
5539,Aida,1917-12-14
5540,Prince Igor,1917-12-15
5541,Tosca,1917-12-15
5542,Fifth Sunday Concert,1917-12-16
5543,La Fille du Régiment,1917-12-17
5544,Cavalleria Rusticana,1917-12-18
5545,Mârouf,1917-12-19
5546,Carmen,1917-12-20
5547,Boris Godunov,1917-12-21
5548,Le Nozze di Figaro,1917-12-22
5549,L'Oracolo,1917-12-22
5550,Sixth Sunday Concert,1917-12-23
5551,Samson et Dalila,1917-12-24
5552,La Bohème,1917-12-25
5553,La Fille du Régiment,1917-12-25
5554,La Fille du Régiment,1917-12-26
5555,Francesca da Rimini,1917-12-27
5556,Faust,1917-12-28
5557,Rigoletto,1917-12-29
5558,Boris Godunov,1917-12-29
5559,Seventh Sunday Concert,1917-12-30
5560,Mârouf,1917-12-31
5561,Madama Butterfly,1918-01-01
5562,Aida,1918-01-01
5563,L'Elisir d'Amore,1918-01-02
5564,Saint Elisabeth,1918-01-03
5565,Manon Lescaut,1918-01-04
5566,Thaïs,1918-01-05
5567,La Fille du Régiment,1918-01-05
5568,Eighth Sunday Concert,1918-01-06
5569,Martha,1918-01-07
5570,Saint Elisabeth,1918-01-08
5571,Aida,1918-01-09
5572,Mârouf,1918-01-10
5573,Saint Elisabeth,1918-01-11
5574,Lodoletta,1918-01-12
5575,La Bohème,1918-01-12
5576,Ninth Sunday Concert,1918-01-13
5577,Francesca da Rimini,1918-01-14
5578,Rigoletto,1918-01-15
5579,Thaïs,1918-01-16
5580,L'Oracolo,1918-01-17
5581,La Fille du Régiment,1918-01-18
5582,Boris Godunov,1918-01-19
5583,Faust,1918-01-19
5584,Tenth Sunday Concert,1918-01-20
5585,Lodoletta,1918-01-21
5586,Samson et Dalila,1918-01-23
5587,Il Trovatore,1918-01-24
5588,Madama Butterfly,1918-01-25
5589,L'Oracolo,1918-01-26
5590,Aida,1918-01-26
5591,Eleventh Sunday Concert,1918-01-27
5592,L'Elisir d'Amore,1918-01-28
5593,Cavalleria Rusticana,1918-01-29
5594,Carmen,1918-01-30
5595,Rigoletto,1918-01-31
5596,Lodoletta,1918-02-01
5597,La Fille du Régiment,1918-02-02
5598,Faust,1918-02-02
5599,Twelfth Sunday Concert,1918-02-03
5600,Madama Butterfly,1918-02-04
5601,La Traviata,1918-02-05
5602,Francesca da Rimini,1918-02-06
5603,Le Prophète,1918-02-07
5604,Tosca,1918-02-08
5605,Martha,1918-02-09
5606,Saint Elisabeth,1918-02-09
5607,Thirteenth Sunday Concert,1918-02-10
5608,Aida,1918-02-11
5609,Le Nozze di Figaro,1918-02-11
5610,La Bohème,1918-02-12
5611,Rigoletto,1918-02-13
5612,Thaïs,1918-02-14
5613,Le Prophète,1918-02-15
5614,Mârouf,1918-02-16
5615,Manon Lescaut,1918-02-16
5616,Fourteenth Sunday Concert,1918-02-17
5617,I Puritani,1918-02-18
5618,Lodoletta,1918-02-19
5619,Tosca,1918-02-20
5620,Lodoletta,1918-02-21
5621,Carmen,1918-02-22
5622,Il Barbiere di Siviglia,1918-02-22
5623,Saint Elisabeth,1918-02-23
5624,Rigoletto,1918-02-23
5625,Fifteenth Sunday Concert,1918-02-24
5626,Il Trovatore,1918-02-25
5627,Thaïs,1918-02-26
5628,Le Prophète,1918-02-27
5629,I Puritani,1918-02-28
5630,Martha,1918-03-01
5631,Madame Sans-Gêne,1918-03-02
5632,Mârouf,1918-03-02
5633,Sixteenth Sunday Concert,1918-03-03
5634,Manon Lescaut,1918-03-04
5635,Madama Butterfly,1918-03-05
5636,Cavalleria Rusticana,1918-03-06
5637,Samson et Dalila,1918-03-07
5638,Carmen,1918-03-08
5639,Aida,1918-03-09
5640,I Puritani,1918-03-09
5641,Seventeenth Sunday Concert,1918-03-10
5642,Thaïs,1918-03-11
5643,Rigoletto,1918-03-12
5644,Saint Elisabeth,1918-03-13
5645,L'Amore dei Tre Re,1918-03-14
5646,Madama Butterfly,1918-03-15
5647,Cavalleria Rusticana,1918-03-15
5648,Le Prophète,1918-03-16
5649,Il Barbiere di Siviglia,1918-03-16
5650,Eighteenth Sunday Concert,1918-03-17
5651,Rigoletto,1918-03-18
5652,L'Amore dei Tre Re,1918-03-19
5653,Madame Sans-Gêne,1918-03-20
5654,Special Performance,1918-03-21
5655,Boris Godunov,1918-03-21
5656,L'Amore dei Tre Re,1918-03-22
5657,The Robin Woman: Shanewis,1918-03-23
5658,Carmen,1918-03-23
5659,Nineteenth Sunday Concert,1918-03-24
5660,Cavalleria Rusticana,1918-03-25
5661,Carmen,1918-03-26
5662,Lodoletta,1918-03-27
5663,The Robin Woman: Shanewis,1918-03-28
5664,Verdi Requiem Mass,1918-03-29
5665,Thaïs,1918-03-29
5666,L'Amore dei Tre Re,1918-03-30
5667,I Puritani,1918-03-30
5668,Twentieth Sunday Concert,1918-03-31
5669,Le Prophète,1918-04-01
5670,La Bohème,1918-04-02
5671,Il Barbiere di Siviglia,1918-04-03
5672,Aida,1918-04-04
5673,Tosca,1918-04-04
5674,The Robin Woman: Shanewis,1918-04-05
5675,I Puritani,1918-04-06
5676,L'Amore dei Tre Re,1918-04-06
5677,Verdi Requiem Mass,1918-04-07
5678,Madame Sans-Gêne,1918-04-08
5679,Samson et Dalila,1918-04-09
5680,The Robin Woman: Shanewis,1918-04-10
5681,Madama Butterfly,1918-04-11
5682,Martha,1918-04-11
5683,Mârouf,1918-04-12
5684,Cavalleria Rusticana,1918-04-13
5685,Thaïs,1918-04-13
5686,Grand Gala Concert,1918-04-14
5687,The Robin Woman: Shanewis,1918-04-15
5688,Il Trovatore,1918-04-16
5689,L'Oracolo,1918-04-16
5690,Carmen,1918-04-17
5691,L'Amore dei Tre Re,1918-04-17
5692,Il Barbiere di Siviglia,1918-04-18
5693,L'Elisir d'Amore,1918-04-19
5694,Tosca,1918-04-20
5695,Cavalleria Rusticana,1918-04-20
5696,Twenty-Third and Last Sunday Concert,1918-04-21
5697,Le Prophète,1918-04-22
5698,Tosca,1918-04-23
5699,Aida,1918-04-24
5700,Rigoletto,1918-04-24
5701,L'Oracolo,1918-04-25
5702,Le Coq d'Or,1918-04-26
5703,Madama Butterfly,1918-04-26
5704,Samson et Dalila,1918-04-27
5705,I Puritani,1918-04-27
5706,Samson et Dalila,1918-11-11
5707,Madama Butterfly,1918-11-12
5708,Aida,1918-11-13
5709,La Fille du Régiment,1918-11-14
5710,La Forza del Destino,1918-11-15
5711,Thaïs,1918-11-16
5712,Cavalleria Rusticana,1918-11-16
5713,Tosca,1918-11-18
5714,Mârouf,1918-11-19
5715,L'Elisir d'Amore,1918-11-20
5716,Carmen,1918-11-21
5717,Mârouf,1918-11-22
5718,Le Prophète,1918-11-23
5719,La Traviata,1918-11-23
5720,First Sunday Night Concert,1918-11-24
5721,Boris Godunov,1918-11-25
5722,L'Elisir d'Amore,1918-11-26
5723,La Bohème,1918-11-27
5724,Madama Butterfly,1918-11-28
5725,La Forza del Destino,1918-11-28
5726,Aida,1918-11-29
5727,Faust,1918-11-30
5728,La Fille du Régiment,1918-11-30
5729,Second Sunday Night Concert,1918-12-01
5730,Le Prophète,1918-12-02
5731,Tosca,1918-12-03
5732,Thaïs,1918-12-04
5733,Manon Lescaut,1918-12-05
5734,Tosca,1918-12-06
5735,Martha,1918-12-07
5736,Mârouf,1918-12-07
5737,Third Sunday Night Concert,1918-12-08
5738,Madama Butterfly,1918-12-09
5739,Cavalleria Rusticana,1918-12-10
5740,Il Trovatore,1918-12-11
5741,L'Elisir d'Amore,1918-12-12
5742,Boris Godunov,1918-12-13
5743,La Fille du Régiment,1918-12-14
5744,Il Trittico,1918-12-14
5745,Fourth Sunday Night Concert,1918-12-15
5746,Mârouf,1918-12-16
5747,Il Trittico,1918-12-17
5748,Lodoletta,1918-12-18
5749,Aida,1918-12-19
5750,Faust,1918-12-20
5751,La Forza del Destino,1918-12-21
5752,La Bohème,1918-12-21
5753,Fifth Sunday Night Concert,1918-12-22
5754,Il Trittico,1918-12-23
5755,Aida,1918-12-24
5756,Cavalleria Rusticana,1918-12-25
5757,La Fille du Régiment,1918-12-25
5758,Madama Butterfly,1918-12-26
5759,Samson et Dalila,1918-12-27
5760,Oberon,1918-12-28
5761,La Traviata,1918-12-28
5762,Sixth Sunday Night Concert,1918-12-29
5763,Martha,1918-12-30
5764,Faust,1918-12-31
5765,Aida,1919-01-01
5766,Tosca,1919-01-01
5767,Cavalleria Rusticana,1919-01-02
5768,Il Trittico,1919-01-03
5769,Manon Lescaut,1919-01-04
5770,La Forza del Destino,1919-01-04
5771,Seventh Sunday Night Concert,1919-01-05
5772,Faust,1919-01-06
5773,Aida,1919-01-07
5774,La Bohème,1919-01-08
5775,La Traviata,1919-01-08
5776,Oberon,1919-01-09
5777,Lodoletta,1919-01-10
5778,Tosca,1919-01-11
5779,Mârouf,1919-01-11
5780,Eighth Sunday Night Concert,1919-01-12
5781,Aida,1919-01-13
5782,Thaïs,1919-01-14
5783,Martha,1919-01-15
5784,Il Trittico,1919-01-16
5785,Oberon,1919-01-17
5786,Crispino e la Comare,1919-01-18
5787,Le Prophète,1919-01-18
5788,Ninth Sunday Night Concert,1919-01-19
5789,Cavalleria Rusticana,1919-01-20
5790,Samson et Dalila,1919-01-21
5791,Manon Lescaut,1919-01-22
5792,Crispino e la Comare,1919-01-23
5793,La Reine Fiammette,1919-01-24
5794,L'Elisir d'Amore,1919-01-25
5795,Lucia di Lammermoor,1919-01-25
5796,Tenth Sunday Night Concert,1919-01-26
5797,La Forza del Destino,1919-01-27
5798,Crispino e la Comare,1919-01-28
5799,Oberon,1919-01-29
5800,Madama Butterfly,1919-01-30
5801,Samson et Dalila,1919-01-30
5802,Il Barbiere di Siviglia,1919-01-31
5803,Il Trittico,1919-02-01
5804,L'Oracolo,1919-02-01
5805,Eleventh Sunday Night Concert,1919-02-02
5806,La Reine Fiammette,1919-02-03
5807,Il Barbiere di Siviglia,1919-02-04
5808,La Forza del Destino,1919-02-05
5809,La Traviata,1919-02-06
5810,L'Oracolo,1919-02-07
5811,Carmen,1919-02-08
